Formula	DC-T	DC-P	erSSAT-T	erSSAT-P	erSSAT-U	erSSATb-T	erSSATb-P	erSSATb-U
adder	nan	nan	nan	nan	0.7981750	nan	nan	nan
bar	nan	nan	nan	nan	0.9975430	nan	nan	nan
c1908	nan	nan	nan	nan	nan	nan	nan	0.2648310
c2670	nan	nan	nan	nan	0.5030880	nan	nan	0.9999940
c3540	nan	nan	nan	nan	0.2975040	nan	nan	0.9964220
c432	nan	nan	nan	nan	0.03152940	nan	nan	0.5918350
c5315	nan	nan	nan	nan	0.9657850	nan	nan	nan
c6288	nan	nan	nan	nan	0.9999400	nan	nan	0.9999980
c880	nan	nan	nan	nan	0.1744530	nan	nan	0.8830130
cavlc	0.159637068	0.0496313	nan	nan	0.04963130	nan	nan	0.04963130
ctrl	0.012009068	0.186523	0.076450661	0.1865230	nan	0.079354799	0.1865230	nan
dec	0.009186377	0.656391	0.074578721	0.6563910	nan	10.035940488	0.6563910	nan
i2c	nan	nan	nan	nan	0.8184040	nan	nan	0.8069420
int2float	0.018377363	0.00639343	0.084879291	0.006393430	nan	0.107915595	0.006393430	nan
max	nan	nan	nan	nan	0.9743970	nan	nan	nan
priority	nan	nan	nan	nan	0.7606220	nan	nan	nan
router	nan	nan	nan	nan	0.001411930	nan	nan	0.2414340
