tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-er.default.Application	dcssat-er.default.Application	dcssat-er.default.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application
test-cases/benchmarks/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	LB	T-LB	status	cputime (s)	sat. prob.	LB	T-LB
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	TIMEOUT	901.415626468		TIMEOUT (ERROR (1))	901.020730733		0.4375000	201.11	TIMEOUT (ERROR (1))	901.091949862		0.3125000	76.80
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	TIMEOUT	901.768014338		TIMEOUT (ERROR (1))	900.999617934		0.4375000	290.22	TIMEOUT (ERROR (1))	901.010520704		0.4375000	252.27
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT	900.96438438		TIMEOUT (ERROR (1))	901.049996552		0.000000	0.00	TIMEOUT (ERROR (1))	901.011274557		0.000000	0.00
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT	901.039448037		TIMEOUT (ERROR (1))	901.058164398		0.000000	0.00	TIMEOUT (ABORTED)	900.938561036			
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT	901.049394684		TIMEOUT (ERROR (1))	901.044717175		0.000000	0.00	TIMEOUT (ERROR (1))	901.002347639		0.000000	0.00
ere-conformant/cube_c3_ser--opt-6_.sdimacs	done	16.679159463	1	done	1.932221045	1.000000			done	16.700321406	1.000000		
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT	901.1275447		TIMEOUT (ERROR (1))	900.93049997		0.1796875	281.72	TIMEOUT (ERROR (1))	901.009087798		0.1640625	431.66
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT	901.136068715		TIMEOUT (ERROR (1))	900.986413352		0.1796875	215.60	TIMEOUT (ERROR (1))	900.942695466		0.4140625	715.65
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT	901.039052633		TIMEOUT (ERROR (1))	900.993658531		0.3378906	516.06	TIMEOUT (ERROR (1))	900.999777118		0.3378906	185.91
ere-conformant/cube_c7_ser--opt-24_.sdimacs	TIMEOUT	900.959862185		TIMEOUT (ERROR (1))	900.919327992		0.3437500	680.18	TIMEOUT (ERROR (1))	901.004527543		0.3378906	388.99
ere-conformant/cube_c9_par---10_.sdimacs	TIMEOUT	901.020415094		TIMEOUT (ERROR (1))	901.013510504		0.2900391	213.93	TIMEOUT (ERROR (1))	901.006683313		0.2939453	416.43
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT	900.957067975		TIMEOUT (ERROR (1))	901.01339823		0.2890625	220.44	TIMEOUT (ERROR (1))	901.003834974		0.2929688	868.66
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT	901.091713263		TIMEOUT (ERROR (1))	901.022434552		0.1250000	512.56	TIMEOUT (ERROR (1))	900.944167592		0.1562500	864.63
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT	901.151393362		TIMEOUT (ERROR (1))	901.006245729		0.1875000	611.64	TIMEOUT (ERROR (1))	901.003507155		0.1250000	215.96
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT	901.165589708		TIMEOUT (ERROR (1))	900.923525905		0.09375000	218.59	TIMEOUT (ERROR (1))	901.006773502		0.1406250	700.72
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT	900.998262931		TIMEOUT (ERROR (1))	900.987166005		0.003906250	157.53	TIMEOUT (ERROR (1))	900.927959574		0.01953125	358.14
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT	901.001453932		TIMEOUT (ERROR (1))	901.008039607		0.003906250	264.68	TIMEOUT (ERROR (1))	901.006932378		0.01562500	213.01
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT	900.918977186		TIMEOUT (ERROR (1))	900.934296205		0.003906250	456.61	TIMEOUT (ERROR (1))	901.012363024		0.01562500	705.08
ere-conformant/ring_r3_ser--opt-8_.sdimacs	TIMEOUT	901.244945881		done	468.987460094	1.000000			TIMEOUT (ERROR (1))	901.077549952		0.7890625	119.88
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT	900.98266717		TIMEOUT (ERROR (1))	901.043896902		0.4960938	523.06	TIMEOUT (ERROR (1))	901.04031053		0.7187500	491.09
ere-conformant/ring_r6_ser---16_.sdimacs	TIMEOUT	901.036746599		SEGMENTATION FAULT	409.329626956				SEGMENTATION FAULT	0.727634955			
ere-conformant/ring_r6_ser--opt-17_.sdimacs	TIMEOUT	901.045379524		SEGMENTATION FAULT	409.304257086				SEGMENTATION FAULT	0.73789031			
ere-conformant/ring_r7_ser---19_.sdimacs	TIMEOUT	901.197217886		TIMEOUT (ERROR (1))	900.919189899		0.000000	0.00	SEGMENTATION FAULT	1.416512087			
