tool	ABC 	DC-SSAT 
run set	erssat.default-BDD.Application	dcssat-er.default.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	901.067674307	782.882748459
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	900.980293708	559.790606793
ere-conformant/cube_c11_par---13_.sdimacs	901.054615382	901.024397434
ere-conformant/cube_c11_par--opt-14_.sdimacs	901.055942773	901.022133034
ere-conformant/cube_c11_ser--opt-42_.sdimacs	900.981741074	901.028141013
ere-conformant/cube_c3_ser--opt-6_.sdimacs	2.217928153	16.745685929
ere-conformant/cube_c5_ser---14_.sdimacs	900.988494463	901.115649869
ere-conformant/cube_c5_ser--opt-15_.sdimacs	900.994076935	901.143475935
ere-conformant/cube_c7_ser---23_.sdimacs	900.9946966	901.024591917
ere-conformant/cube_c7_ser--opt-24_.sdimacs	900.995988875	901.022400724
ere-conformant/cube_c9_par---10_.sdimacs	901.011498758	901.016089177
ere-conformant/cube_c9_par--opt-11_.sdimacs	901.002018024	900.978382875
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	900.903600752	901.096811551
ere-conformant/emptyroom_e3_ser---19_.sdimacs	900.998320353	901.113280655
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	900.995784982	901.164851565
ere-conformant/emptyroom_e4_par---21_.sdimacs	901.001256175	900.986955635
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	900.992190903	900.997916526
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	901.008378953	900.923230944
ere-conformant/ring_r3_ser--opt-8_.sdimacs	483.113475465	901.237359634
ere-conformant/ring_r4_ser--opt-11_.sdimacs	901.011665689	901.033420132
ere-conformant/ring_r6_ser---16_.sdimacs	312.383213832	901.040761716
ere-conformant/ring_r6_ser--opt-17_.sdimacs	312.814652653	901.044409149
ere-conformant/ring_r7_ser---19_.sdimacs	901.011241094	901.194524379
ere-conformant/ring_r7_ser--opt-20_.sdimacs	901.032890675	901.187664703
ere-MaxCount/MaxSAT-keller4-1212.clq.wcnf.sdimacs	0.144049917	901.033079914
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	900.99327084	900.98883249
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	2.24486985	283.751914699
