tool	ABC 	ABC 
run set	default-BDD.Application	bare-BDD.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	901.020730733	901.091949862
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	900.999617934	901.010520704
ere-conformant/cube_c11_par---13_.sdimacs	901.049996552	901.011274557
ere-conformant/cube_c11_par--opt-14_.sdimacs	901.058164398	900.938561036
ere-conformant/cube_c11_ser--opt-42_.sdimacs	901.044717175	901.002347639
ere-conformant/cube_c3_ser--opt-6_.sdimacs	1.932221045	16.700321406
ere-conformant/cube_c5_ser---14_.sdimacs	900.93049997	901.009087798
ere-conformant/cube_c5_ser--opt-15_.sdimacs	900.986413352	900.942695466
ere-conformant/cube_c7_ser---23_.sdimacs	900.993658531	900.999777118
ere-conformant/cube_c7_ser--opt-24_.sdimacs	900.919327992	901.004527543
ere-conformant/cube_c9_par---10_.sdimacs	901.013510504	901.006683313
ere-conformant/cube_c9_par--opt-11_.sdimacs	901.01339823	901.003834974
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	901.022434552	900.944167592
ere-conformant/emptyroom_e3_ser---19_.sdimacs	901.006245729	901.003507155
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	900.923525905	901.006773502
ere-conformant/emptyroom_e4_par---21_.sdimacs	900.987166005	900.927959574
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	901.008039607	901.006932378
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	900.934296205	901.012363024
ere-conformant/ring_r3_ser--opt-8_.sdimacs	468.987460094	901.077549952
ere-conformant/ring_r4_ser--opt-11_.sdimacs	901.043896902	901.04031053
ere-conformant/ring_r6_ser---16_.sdimacs	409.329626956	0.727634955
ere-conformant/ring_r6_ser--opt-17_.sdimacs	409.304257086	0.73789031
ere-conformant/ring_r7_ser---19_.sdimacs	900.919189899	1.416512087
ere-conformant/ring_r7_ser--opt-20_.sdimacs	901.005105521	1.598573493
ere-MaxCount/MaxSAT-keller4-1212.clq.wcnf.sdimacs	0.169898182	901.087483649
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	900.98139763	900.996745843
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	2.022982298	901.157786991
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	901.664717401	901.584799959
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	900.993615114	901.011566483
ere-MaxCount/QIF-backdoor-32-24.sdimacs	0.054105177	0.05216017
ere-MaxCount/QIF-bin-search-16.sdimacs	901.003967299	900.999444324
ere-MaxCount/QIF-pwd-backdoor.sdimacs	900.931920105	901.121441054
ere-MaxCount/QIF-reverse.sdimacs	900.998077632	900.984750357
ere-MaxCount/QIF-reverse2.sdimacs	900.933921518	900.898215619
ere-MaxCount/SyGuS-ActivityService.sdimacs	901.009782026	901.012881961
ere-MaxCount/SyGuS-ActivityService2.sdimacs	900.995995973	901.009870874
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	901.020689789	900.949975948
ere-MaxCount/SyGuS-GuidanceService.sdimacs	901.005385433	901.016496421
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	901.007634928	900.999459384
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	900.95222988	901.010784652
ere-MaxCount/SyGuS-IterationService.sdimacs	901.00291483	901.018038887
ere-MaxCount/SyGuS-LoginService.sdimacs	900.941139394	900.915234982
ere-MaxCount/SyGuS-LoginService2.sdimacs	901.003827306	901.01286596
ere-MaxCount/SyGuS-NotificationServiceImpl2.sdimacs	901.005592724	900.989701142
ere-MaxCount/SyGuS-PhaseService.sdimacs	901.010999808	900.933170073
ere-MaxCount/SyGuS-ProcessBean.sdimacs	901.037766849	901.003862754
ere-MaxCount/SyGuS-ProjectService3.sdimacs	901.035333992	901.039439919
ere-MaxCount/SyGuS-UserServiceImpl.sdimacs	900.911855457	901.009125724
ere-MaxCount/SyGuS-sign.sdimacs	900.978478829	901.002773347
ere-MaxCount/SyGuS-sign_correct.sdimacs	900.913716263	900.905999686
ere-MPEC/ere-adder-0.125-0.01.sdimacs	900.99330067	901.001515204
ere-MPEC/ere-adder-0.125-0.10.sdimacs	900.997481476	901.016055144
ere-MPEC/ere-arbiter-0.125-0.01.sdimacs	901.054529098	900.981321243
ere-MPEC/ere-arbiter-0.125-0.10.sdimacs	55.165623333	0.591893452
ere-MPEC/ere-bar-0.125-0.01.sdimacs	900.99714465	901.003787375
ere-MPEC/ere-bar-0.125-0.10.sdimacs	901.005257169	901.010993393
ere-MPEC/ere-c1355-0.125-0.01.sdimacs	900.92703773	901.108894156
ere-MPEC/ere-c1355-0.125-0.10.sdimacs	900.997463682	901.014016725
ere-MPEC/ere-c1908-0.125-0.01.sdimacs	901.084836635	901.037734801
ere-MPEC/ere-c1908-0.125-0.10.sdimacs	900.992945076	901.010548007
ere-MPEC/ere-c2670-0.125-0.01.sdimacs	901.097088847	901.150663418
ere-MPEC/ere-c2670-0.125-0.10.sdimacs	901.002722956	900.934466287
ere-MPEC/ere-c3540-0.125-0.01.sdimacs	901.075105518	901.057294879
ere-MPEC/ere-c3540-0.125-0.10.sdimacs	901.002559443	900.998241134
ere-MPEC/ere-c432-0.125-0.01.sdimacs	901.042820727	901.098095513
ere-MPEC/ere-c432-0.125-0.10.sdimacs	901.003817271	900.995221728
ere-MPEC/ere-c499-0.125-0.01.sdimacs	900.938847725	901.040143093
ere-MPEC/ere-c499-0.125-0.10.sdimacs	901.010137617	900.99872996
ere-MPEC/ere-c5315-0.125-0.01.sdimacs	901.008142033	901.005227573
ere-MPEC/ere-c5315-0.125-0.10.sdimacs	901.020428459	900.940715817
ere-MPEC/ere-c6288-0.125-0.01.sdimacs	901.040449951	901.023626656
ere-MPEC/ere-c6288-0.125-0.10.sdimacs	901.036727265	901.02796345
ere-MPEC/ere-c7552-0.125-0.01.sdimacs	900.946399986	900.997083525
ere-MPEC/ere-c7552-0.125-0.10.sdimacs	901.004055382	901.003055513
ere-MPEC/ere-c880-0.125-0.01.sdimacs	901.046483381	900.982595018
ere-MPEC/ere-c880-0.125-0.10.sdimacs	900.997394699	900.991875786
ere-MPEC/ere-cavlc-0.125-0.01.sdimacs	901.005394681	901.011448328
ere-MPEC/ere-cavlc-0.125-0.10.sdimacs	901.016758454	900.948305324
ere-MPEC/ere-ctrl-0.125-0.01.sdimacs	0.07007052	0.089835152
ere-MPEC/ere-ctrl-0.125-0.10.sdimacs	901.002564049	900.995676974
