Formula	DC-T	DC-P	erSSAT-T	erSSAT-P	erSSAT-L	erSSAT-TL	erSSATb-T	erSSATb-P	erSSATb-L	erSSATb-TL
blocks\_enc\_2\_b3\_ser--opt-9\_	nan	nan	nan	nan	0.4375000	201.11	nan	nan	0.3125000	76.80
blocks\_enc\_2\_b4\_ser--opt-26\_	nan	nan	nan	nan	0.4375000	290.22	nan	nan	0.4375000	252.27
cube\_c3\_ser--opt-6\_	16.679159463	1	1.932221045	1.000000	nan	nan	16.700321406	1.000000	nan	nan
cube\_c5\_ser---14\_	nan	nan	nan	nan	0.1796875	281.72	nan	nan	0.1640625	431.66
cube\_c5\_ser--opt-15\_	nan	nan	nan	nan	0.1796875	215.60	nan	nan	0.4140625	715.65
cube\_c7\_ser---23\_	nan	nan	nan	nan	0.3378906	516.06	nan	nan	0.3378906	185.91
cube\_c7\_ser--opt-24\_	nan	nan	nan	nan	0.3437500	680.18	nan	nan	0.3378906	388.99
cube\_c9\_par---10\_	nan	nan	nan	nan	0.2900391	213.93	nan	nan	0.2939453	416.43
cube\_c9\_par--opt-11\_	nan	nan	nan	nan	0.2890625	220.44	nan	nan	0.2929688	868.66
emptyroom\_e3\_par--opt-10\_	nan	nan	nan	nan	0.1250000	512.56	nan	nan	0.1562500	864.63
emptyroom\_e3\_ser---19\_	nan	nan	nan	nan	0.1875000	611.64	nan	nan	0.1250000	215.96
emptyroom\_e3\_ser--opt-20\_	nan	nan	nan	nan	0.09375000	218.59	nan	nan	0.1406250	700.72
emptyroom\_e4\_par---21\_	nan	nan	nan	nan	0.003906250	157.53	nan	nan	0.01953125	358.14
emptyroom\_e4\_par--opt-22\_	nan	nan	nan	nan	0.003906250	264.68	nan	nan	0.01562500	213.01
emptyroom\_e4\_ser--opt-44\_	nan	nan	nan	nan	0.003906250	456.61	nan	nan	0.01562500	705.08
ring\_r3\_ser--opt-8\_	nan	nan	468.987460094	1.000000	nan	nan	nan	nan	0.7890625	119.88
ring\_r4\_ser--opt-11\_	nan	nan	nan	nan	0.4960938	523.06	nan	nan	0.7187500	491.09
