tool	DC-SSAT 	ABC 	ABC 
run set	dcssat-er.default.Application	erssat.bare-BDD.Application	erssat.default-BDD.Application
test-cases/benchmarks/	status	status	status
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT	TIMEOUT (ABORTED)	TIMEOUT (ERROR (1))
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c3_ser--opt-6_.sdimacs	done	done	done
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c7_ser--opt-24_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c9_par---10_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/ring_r3_ser--opt-8_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	done
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-conformant/ring_r6_ser---16_.sdimacs	TIMEOUT	SEGMENTATION FAULT	SEGMENTATION FAULT
ere-conformant/ring_r6_ser--opt-17_.sdimacs	TIMEOUT	SEGMENTATION FAULT	SEGMENTATION FAULT
ere-conformant/ring_r7_ser---19_.sdimacs	TIMEOUT	SEGMENTATION FAULT	TIMEOUT (ERROR (1))
ere-conformant/ring_r7_ser--opt-20_.sdimacs	TIMEOUT	SEGMENTATION FAULT	TIMEOUT (ERROR (1))
ere-MaxCount/MaxSAT-keller4-1212.clq.wcnf.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	done
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	done
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	ERROR (255)	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	done	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-backdoor-32-24.sdimacs	done	done	done
ere-MaxCount/QIF-bin-search-16.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-pwd-backdoor.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-reverse.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-MaxCount/QIF-reverse2.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ABORTED)
ere-MaxCount/SyGuS-ActivityService.sdimacs	OUT OF MEMORY	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
