tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-re.default.PEC	dcssat-re.default.PEC	dcssat-re.default.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC
test-cases/benchmarks/re-PEC/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	UB	status	cputime (s)	sat. prob.	UB
re-adder-0.125-0.01.sdimacs	OUT OF MEMORY	548.288581319		TIMEOUT	1001.39535335		0.7981750	TIMEOUT	1001.394614889		1.000000
re-adder-0.125-0.10.sdimacs	OUT OF MEMORY	476.185234585		TIMEOUT	1001.474110216		1.000000	TIMEOUT	1001.466571662		1.000000
re-arbiter-0.125-0.01.sdimacs	OUT OF MEMORY	346.539575395		TIMEOUT	1001.058006818			TIMEOUT	1001.135379643		
re-arbiter-0.125-0.10.sdimacs	OUT OF MEMORY	594.197627694		TIMEOUT	1001.490225224		1.000000	TIMEOUT	1001.512507329		1.000000
re-bar-0.125-0.01.sdimacs	OUT OF MEMORY	803.698398115		TIMEOUT	1001.192992798		0.9975430	TIMEOUT	1001.246075843		1.000000
re-bar-0.125-0.10.sdimacs	OUT OF MEMORY	688.109604538		TIMEOUT	1001.356503615		1.000000	TIMEOUT	1001.440102189		1.000000
re-c1355-0.125-0.01.sdimacs	OUT OF MEMORY	477.746585088		TIMEOUT	1001.075554542			TIMEOUT	1001.068697969		
re-c1355-0.125-0.10.sdimacs	OUT OF MEMORY	737.003692142		TIMEOUT	1001.285309808		1.000000	TIMEOUT	1001.139979662		1.000000
re-c1908-0.125-0.01.sdimacs	OUT OF MEMORY	734.554029862		TIMEOUT	1001.046040208			TIMEOUT	1001.0691412		0.2648310
re-c1908-0.125-0.10.sdimacs	OUT OF MEMORY	699.101717619		TIMEOUT	1001.223046585		0.9999810	TIMEOUT	1001.130963618		1.000000
re-c2670-0.125-0.01.sdimacs	TIMEOUT	901.335858283		TIMEOUT	1001.25453809		0.5030880	TIMEOUT	1001.373818932		0.9999940
re-c2670-0.125-0.10.sdimacs	OUT OF MEMORY	542.285467447		TIMEOUT	1001.369415536		1.000000	TIMEOUT	1001.532577235		1.000000
re-c3540-0.125-0.01.sdimacs	TIMEOUT	900.912562768		TIMEOUT	1001.106348297		0.2975040	TIMEOUT	1001.080925459		0.9964220
re-c3540-0.125-0.10.sdimacs	OUT OF MEMORY	591.892789707		TIMEOUT	1001.257100791		0.9999960	TIMEOUT	1001.251781565		1.000000
re-c432-0.125-0.01.sdimacs	TIMEOUT	901.42595612		TIMEOUT	1001.102289516		0.03152940	TIMEOUT	1001.094883106		0.5918350
re-c432-0.125-0.10.sdimacs	OUT OF MEMORY	306.490254718		TIMEOUT	1001.151179994		0.7812120	TIMEOUT	1001.084243162		0.9759230
re-c499-0.125-0.01.sdimacs	OUT OF MEMORY	392.887921897		TIMEOUT	1001.04780395			TIMEOUT	1001.096830267		
re-c499-0.125-0.10.sdimacs	OUT OF MEMORY	662.200906152		TIMEOUT	1001.190231384		1.000000	TIMEOUT	1001.122275009		1.000000
re-c5315-0.125-0.01.sdimacs	OUT OF MEMORY	599.132590235		TIMEOUT	1001.281722725		0.9657850	TIMEOUT	1001.331617736		1.000000
re-c5315-0.125-0.10.sdimacs	OUT OF MEMORY	620.303428173		TIMEOUT	1001.447699277		1.000000	TIMEOUT	1001.546468596		1.000000
re-c6288-0.125-0.01.sdimacs	OUT OF MEMORY	835.159636964		TIMEOUT (ERROR (1))	901.030663075		0.9999400	TIMEOUT	1001.068497643		0.9999980
re-c6288-0.125-0.10.sdimacs	TIMEOUT	901.668568582		TIMEOUT	1001.273339868		1.000000	TIMEOUT	1001.345639394		1.000000
re-c7552-0.125-0.01.sdimacs	OUT OF MEMORY	592.787021546		TIMEOUT	1001.276035328		1.000000	TIMEOUT	1001.387092759		1.000000
re-c7552-0.125-0.10.sdimacs	OUT OF MEMORY	391.106184196		TIMEOUT	1001.514816709		1.000000	TIMEOUT	1001.523570769		1.000000
re-c880-0.125-0.01.sdimacs	TIMEOUT	901.288442608		TIMEOUT	1001.128110848		0.1744530	TIMEOUT	1001.097260116		0.8830130
re-c880-0.125-0.10.sdimacs	OUT OF MEMORY	330.081609731		TIMEOUT	1001.198127555		0.9983850	TIMEOUT	1001.083476303		1.000000
re-cavlc-0.125-0.01.sdimacs	done	0.159637068	0.0496313	TIMEOUT	1001.066377037		0.04963130	TIMEOUT	1001.072584242		0.04963130
re-cavlc-0.125-0.10.sdimacs	OUT OF MEMORY	418.636810047		TIMEOUT	1001.242533703		0.7656860	TIMEOUT	1001.132194566		0.8879150
re-ctrl-0.125-0.01.sdimacs	done	0.012009068	0.186523	done	0.076450661	0.1865230		done	0.079354799	0.1865230	
re-ctrl-0.125-0.10.sdimacs	done	0.052739122	0.821531	TIMEOUT	1001.062520106		0.8491570	TIMEOUT	1001.033143952		0.8725620
re-dec-0.125-0.01.sdimacs	done	0.009186377	0.656391	done	0.074578721	0.6563910		done	10.035940488	0.6563910	
re-dec-0.125-0.10.sdimacs	done	184.520715081	0.987405	TIMEOUT	1001.07922042		0.9878030	TIMEOUT	1001.045896331		0.9992850
re-div-0.125-0.01.sdimacs	SEGMENTATION FAULT	2.067577941		TIMEOUT	1001.309752467		1.000000	TIMEOUT	1001.652996463		1.000000
re-div-0.125-0.10.sdimacs	SEGMENTATION FAULT	3.057750698		TIMEOUT (ERROR (1))	901.052821107		1.000000	TIMEOUT	1001.803896151		
re-hyp-0.125-0.01.sdimacs	SEGMENTATION FAULT	8.920554749		TIMEOUT (ERROR (1))	901.150704391		1.000000	TIMEOUT	1001.439677316		1.000000
re-hyp-0.125-0.10.sdimacs	SEGMENTATION FAULT	13.842666485		TIMEOUT (ERROR (1))	901.190879047		1.000000	TIMEOUT (ERROR (1))	901.639444082		
re-i2c-0.125-0.01.sdimacs	OUT OF MEMORY	409.146991519		TIMEOUT	1001.188600274		0.8184040	TIMEOUT	1001.2885978		0.8069420
re-i2c-0.125-0.10.sdimacs	OUT OF MEMORY	533.224932786		TIMEOUT	1001.427165177		0.9981550	TIMEOUT	1001.379340921		1.000000
re-int2float-0.125-0.01.sdimacs	done	0.018377363	0.00639343	done	0.084879291	0.006393430		done	0.107915595	0.006393430	
re-int2float-0.125-0.10.sdimacs	done	4.327174128	0.432427	TIMEOUT	1001.067023199		0.5223450	TIMEOUT	1001.090421348		0.6464930
re-log2-0.125-0.01.sdimacs	SEGMENTATION FAULT	1.299546172		TIMEOUT	1001.03919851		1.000000	TIMEOUT	1001.310266998		1.000000
re-log2-0.125-0.10.sdimacs	SEGMENTATION FAULT	5.378171005		TIMEOUT (ERROR (1))	901.528476008		1.000000	TIMEOUT	1001.405805322		1.000000
re-max-0.125-0.01.sdimacs	TIMEOUT	901.265024298		TIMEOUT	1001.608887383		0.9743970	TIMEOUT	1001.376187995		
re-max-0.125-0.10.sdimacs	OUT OF MEMORY	884.65770266		TIMEOUT	1001.487843281		0.9999550	TIMEOUT	1001.628389259		
re-mem_ctrl-0.125-0.01.sdimacs	SEGMENTATION FAULT	2.234633791		TIMEOUT	1001.282813044		1.000000	TIMEOUT	1001.196897947		1.000000
