tool	ABC 	DC-SSAT 
run set	ressat.minimize-Cachet.Strategic	dcssat-re.default.Strategic
test-cases/benchmarks/re-strategic-company/	cputime (s)	cputime (s)
x10.14.sdimacs	0.041949903	0.028348793
x10.19.sdimacs	0.080072894	0.028614021
x10.4.sdimacs	0.043740219	0.028176684
x10.9.sdimacs	0.073412301	0.028551857
x15.14.sdimacs	0.07787039	0.078468406
x15.19.sdimacs	0.044905552	0.157017098
x15.4.sdimacs	0.086177651	0.128616723
x15.9.sdimacs	0.078637925	0.155541153
x20.14.sdimacs	0.050573703	0.492331472
x20.19.sdimacs	0.055021814	0.875773118
x20.4.sdimacs	0.103328755	0.445949925
x20.9.sdimacs	0.05560998	0.707019404
x25.14.sdimacs	0.082808143	10.431000874
x25.19.sdimacs	0.144309544	8.141642061
x25.4.sdimacs	0.133697954	6.843914883
x25.9.sdimacs	0.142718481	5.431956729
x30.14.sdimacs	0.15891759	45.494949204
x30.19.sdimacs	0.083236183	29.947437988
x30.4.sdimacs	0.086019899	15.403468689
x30.9.sdimacs	0.182619957	37.750113353
x35.14.sdimacs	0.103862022	257.93074997
x35.19.sdimacs	0.314911447	286.90151515
x35.4.sdimacs	0.153133486	243.425995337
x35.9.sdimacs	0.283091184	239.142068677
x40.14.sdimacs	0.256093487	901.478657414
x40.19.sdimacs	0.328463584	901.558891026
x40.4.sdimacs	0.347743541	901.40467644
x40.9.sdimacs	0.20366357	901.385768465
x45.14.sdimacs	1.641280481	901.45963696
x45.19.sdimacs	1.745495928	901.461385891
x45.4.sdimacs	1.220593801	901.45404871
x45.9.sdimacs	0.792137614	901.559547963
x5.14.sdimacs	0.038497355	0.01402956
x5.19.sdimacs	0.037660827	0.016097491
x5.4.sdimacs	0.078048715	0.015834435
x5.9.sdimacs	0.072854176	0.015879632
x50.14.sdimacs	1.919089868	901.024787683
x50.19.sdimacs	1.175850338	901.252164583
x50.4.sdimacs	0.87076091	901.36967924
x50.9.sdimacs	0.65719088	901.33253013
x55.14.sdimacs	1.401029185	901.37240507
x55.19.sdimacs	0.869425648	901.334963241
x55.4.sdimacs	2.261068949	901.356509695
x55.9.sdimacs	1.355969605	901.139600684
x60.14.sdimacs	11.956664002	901.200226162
x60.19.sdimacs	4.435592181	901.138744235
x60.4.sdimacs	11.303962294	901.183757766
x60.9.sdimacs	13.9004475	901.242377393
x65.14.sdimacs	11.577756709	901.073661694
x65.19.sdimacs	68.722993107	901.27588498
x65.4.sdimacs	6.821830668	901.038064419
x65.9.sdimacs	18.557404997	901.335744985
x70.14.sdimacs	193.513837838	901.228545173
x70.19.sdimacs	21.088814291	901.265668096
x70.4.sdimacs	37.472427688	901.160722674
x70.9.sdimacs	41.270773467	901.070955971
x75.14.sdimacs	162.73735134	901.225463226
x75.19.sdimacs	227.730538572	901.212220045
x75.4.sdimacs	218.459737205	901.188752841
x75.9.sdimacs	298.355155517	901.174883932
