tool	ABC 	ABC 
run set	minimize-Cachet.Strategic	bare-Cachet.Strategic
test-cases/benchmarks/re-strategic-company/	cputime (s)	cputime (s)
x10.14.sdimacs	0.041949903	0.088118031
x10.19.sdimacs	0.080072894	0.134932232
x10.4.sdimacs	0.043740219	0.085205373
x10.9.sdimacs	0.073412301	0.13916442
x15.14.sdimacs	0.07787039	6.912526306
x15.19.sdimacs	0.044905552	5.730917135
x15.4.sdimacs	0.086177651	6.397604618
x15.9.sdimacs	0.078637925	6.487361413
x20.14.sdimacs	0.050573703	1001.047455578
x20.19.sdimacs	0.055021814	1001.061175517
x20.4.sdimacs	0.103328755	1001.03735843
x20.9.sdimacs	0.05560998	1001.028865576
x25.14.sdimacs	0.082808143	1001.029543865
x25.19.sdimacs	0.144309544	1001.027603989
x25.4.sdimacs	0.133697954	1001.027518237
x25.9.sdimacs	0.142718481	1001.027554885
x30.14.sdimacs	0.15891759	1001.026629982
x30.19.sdimacs	0.083236183	1001.040868567
x30.4.sdimacs	0.086019899	1001.034598254
x30.9.sdimacs	0.182619957	1001.025849691
x35.14.sdimacs	0.103862022	1001.054841995
x35.19.sdimacs	0.314911447	1001.061048436
x35.4.sdimacs	0.153133486	1001.055218648
x35.9.sdimacs	0.283091184	1001.040416612
x40.14.sdimacs	0.256093487	1001.04488571
x40.19.sdimacs	0.328463584	1001.064161397
x40.4.sdimacs	0.347743541	1001.060637487
x40.9.sdimacs	0.20366357	1001.05542499
x45.14.sdimacs	1.641280481	1001.066359399
x45.19.sdimacs	1.745495928	1001.072067655
x45.4.sdimacs	1.220593801	1001.06808517
x45.9.sdimacs	0.792137614	1001.068308687
x5.14.sdimacs	0.038497355	0.03999729
x5.19.sdimacs	0.037660827	0.039424475
x5.4.sdimacs	0.078048715	0.075284715
x5.9.sdimacs	0.072854176	0.074566145
x50.14.sdimacs	1.919089868	1001.059237828
x50.19.sdimacs	1.175850338	1001.079449114
x50.4.sdimacs	0.87076091	1001.074424059
x50.9.sdimacs	0.65719088	1001.061342281
x55.14.sdimacs	1.401029185	1001.073559686
x55.19.sdimacs	0.869425648	1001.077383589
x55.4.sdimacs	2.261068949	1001.07122519
x55.9.sdimacs	1.355969605	1001.073563742
x60.14.sdimacs	11.956664002	1001.08652611
x60.19.sdimacs	4.435592181	1001.067962857
x60.4.sdimacs	11.303962294	1001.082875262
x60.9.sdimacs	13.9004475	1001.068652463
x65.14.sdimacs	11.577756709	1001.08428994
x65.19.sdimacs	68.722993107	1001.087033257
x65.4.sdimacs	6.821830668	1001.080782977
x65.9.sdimacs	18.557404997	1001.092161139
x70.14.sdimacs	193.513837838	1001.110685815
x70.19.sdimacs	21.088814291	1001.097105559
x70.4.sdimacs	37.472427688	1001.08931269
x70.9.sdimacs	41.270773467	1001.083244548
x75.14.sdimacs	162.73735134	1001.096713593
x75.19.sdimacs	227.730538572	1001.11227612
x75.4.sdimacs	218.459737205	1001.095760595
x75.9.sdimacs	298.355155517	1001.107687107
