   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/bddsp-ppe.xml
name:                    bddsp-ppe
run sets:                average-case, worst-case
date:                    Fri, 2021-04-16 18:17:52 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



average-case
Run set 1 of 2 with options '-c st; bddsp -r' and propertyfile 'None'

inputfile                                                        status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------
E-0.125-D-0.1/adder.aig/adder-0.125-0.10-spbn.blif               done                             1.09        1.09        None
E-0.125-D-0.1/arbiter.aig/arbiter-0.125-0.10-spbn.blif           TIMEOUT (ERROR (1))            901.07      901.14        None
E-0.125-D-0.1/bar.aig/bar-0.125-0.10-spbn.blif                   TIMEOUT (ERROR (1))            901.16      901.18        None
E-0.125-D-0.1/c1355.bench/c1355-0.125-0.10-spbn.blif             TIMEOUT (ERROR (1))            901.08      901.09        None
E-0.125-D-0.1/c1908.bench/c1908-0.125-0.10-spbn.blif             TIMEOUT (ERROR (1))            901.08      901.11        None
E-0.125-D-0.1/c2670.bench/c2670-0.125-0.10-spbn.blif             TIMEOUT (ERROR (1))            901.08      901.09        None
E-0.125-D-0.1/c3540.bench/c3540-0.125-0.10-spbn.blif             TIMEOUT (ERROR (1))            901.08      901.09        None
E-0.125-D-0.1/c432.bench/c432-0.125-0.10-spbn.blif               done                             7.97        7.97        None
E-0.125-D-0.1/c499.bench/c499-0.125-0.10-spbn.blif               TIMEOUT (ERROR (1))            901.02      901.08        None
E-0.125-D-0.1/c5315.bench/c5315-0.125-0.10-spbn.blif             TIMEOUT (ERROR (1))            901.07      901.08        None
