   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dcssat-full.xml
name:                    dcssat-full
run sets:                default
date:                    Fri, 2021-01-29 19:06:55 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
--------------------------------------------------------------------------------------------------------------------
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs     TIMEOUT                        901.37      901.42        None
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs    OUT OF MEMORY                  854.52      854.55        None
ere-conformant/cube_c11_par---13_.sdimacs              TIMEOUT                        901.04      901.06        None
ere-conformant/cube_c11_par--opt-14_.sdimacs           TIMEOUT                        901.01      901.05        None
ere-conformant/cube_c11_ser--opt-42_.sdimacs           TIMEOUT                        901.05      901.07        None
ere-conformant/cube_c3_ser--opt-6_.sdimacs             done                            20.99       20.99        None
ere-conformant/cube_c5_ser---14_.sdimacs               TIMEOUT                        901.09      901.11        None
ere-conformant/cube_c5_ser--opt-15_.sdimacs            TIMEOUT                        901.07      901.11        None
ere-conformant/cube_c7_ser---23_.sdimacs               TIMEOUT                        901.00      901.07        None
ere-conformant/cube_c7_ser--opt-24_.sdimacs            TIMEOUT                        901.04      901.07        None
ere-conformant/cube_c9_par---10_.sdimacs               TIMEOUT                        901.02      901.04        None
ere-conformant/cube_c9_par--opt-11_.sdimacs            TIMEOUT                        901.00      901.04        None
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs       TIMEOUT                        901.03      901.05        None
ere-conformant/emptyroom_e3_ser---19_.sdimacs          TIMEOUT                        901.07      901.09        None
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs       TIMEOUT                        901.07      901.10        None
