   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/ressat-full.xml
name:                    ressat-full
run sets:                minimize-BDD.RandomExist, bare-BDD.RandomExist, minimize-Cachet.RandomExist, bare-Cachet.RandomExist
date:                    Thu, 2021-01-28 17:40:12 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



minimize-BDD.RandomExist
Run set 1 of 4 with options '-c ssat -vt' and propertyfile 'None'

inputfile                              status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------
re-PEC/c1355_re.sdimacs                TIMEOUT                       1001.03     1001.05        None
re-PEC/c1908_re.sdimacs                TIMEOUT (ERROR (1))            901.06      901.08        None
re-PEC/c3540_re.sdimacs                done                            21.76       21.76        None
re-PEC/c432_re.sdimacs                 TIMEOUT (ERROR (1))            901.05      901.09        None
re-PEC/c499_re.sdimacs                 done                             0.06        0.06        None
re-PEC/c5315_re.sdimacs                TIMEOUT (ERROR (1))            901.08      901.10        None
re-PEC/c7552_re.sdimacs                TIMEOUT (ERROR (1))            901.27      901.29        None
re-PEC/c880_re.sdimacs                 TIMEOUT (ERROR (1))            903.26      903.30        None
re-strategic-company/x10.14.sdimacs    done                             0.05        0.05        None
re-strategic-company/x10.19.sdimacs    done                             0.06        0.06        None
re-strategic-company/x10.4.sdimacs     done                             0.05        0.05        None
re-strategic-company/x10.9.sdimacs     done                             0.06        0.06        None
re-strategic-company/x15.14.sdimacs    done                             0.06        0.07        None
re-strategic-company/x15.19.sdimacs    done                             0.06        0.06        None
re-strategic-company/x15.4.sdimacs     done                             0.07        0.07        None
re-strategic-company/x15.9.sdimacs     done                             0.06        0.06        None
re-strategic-company/x20.14.sdimacs    done                             0.06        0.06        None
re-strategic-company/x20.19.sdimacs    done                             0.08        0.08        None
re-strategic-company/x20.4.sdimacs     done                             0.09        0.10        None
re-strategic-company/x20.9.sdimacs     done                             0.07        0.07        None
re-strategic-company/x25.14.sdimacs    done                             0.09        0.09        None
re-strategic-company/x25.19.sdimacs    done                             0.13        0.13        None
re-strategic-company/x25.4.sdimacs     done                             0.12        0.12        None
re-strategic-company/x25.9.sdimacs     done                             0.13        0.13        None
re-strategic-company/x30.14.sdimacs    done                             0.15        0.15        None
re-strategic-company/x30.19.sdimacs    done                             0.09        0.10        None
re-strategic-company/x30.4.sdimacs     done                             0.10        0.10        None
re-strategic-company/x30.9.sdimacs     done                             0.18        0.18        None
re-strategic-company/x35.14.sdimacs    done                             0.12        0.12        None
re-strategic-company/x35.19.sdimacs    done                             0.31        0.31        None
re-strategic-company/x35.4.sdimacs     done                             0.14        0.14        None
re-strategic-company/x35.9.sdimacs     done                             0.30        0.30        None
re-strategic-company/x40.14.sdimacs    done                             0.25        0.25        None
re-strategic-company/x40.19.sdimacs    done                             0.32        0.32        None
re-strategic-company/x40.4.sdimacs     done                             0.35        0.35        None
re-strategic-company/x40.9.sdimacs     done                             0.20        0.20        None
re-strategic-company/x45.14.sdimacs    done                             1.69        1.69        None
re-strategic-company/x45.19.sdimacs    done                             1.80        1.80        None
re-strategic-company/x45.4.sdimacs     done                             1.26        1.26        None
re-strategic-company/x45.9.sdimacs     done                             0.80        0.80        None
re-strategic-company/x5.14.sdimacs     done                             0.05        0.05        None
re-strategic-company/x5.19.sdimacs     done                             0.05        0.05        None
re-strategic-company/x5.4.sdimacs      done                             0.05        0.06        None
re-strategic-company/x5.9.sdimacs      done                             0.06        0.06        None
re-strategic-company/x50.14.sdimacs    done                             1.95        1.95        None
re-strategic-company/x50.19.sdimacs    done                             1.19        1.19        None
re-strategic-company/x50.4.sdimacs     done                             0.87        0.87        None
re-strategic-company/x50.9.sdimacs     done                             0.66        0.66        None
re-strategic-company/x55.14.sdimacs    done                             1.44        1.44        None
re-strategic-company/x55.19.sdimacs    done                             0.85        0.85        None
re-strategic-company/x55.4.sdimacs     done                             2.34        2.34        None
re-strategic-company/x55.9.sdimacs     done                             1.35        1.36        None
re-strategic-company/x60.14.sdimacs    done                            12.47       12.47        None
re-strategic-company/x60.19.sdimacs    done                             4.50        4.50        None
re-strategic-company/x60.4.sdimacs     done                            11.75       11.75        None
re-strategic-company/x60.9.sdimacs     done                            13.96       13.96        None
re-strategic-company/x65.14.sdimacs    done                            11.53       11.53        None
re-strategic-company/x65.19.sdimacs    done                            73.29       73.30        None
re-strategic-company/x65.4.sdimacs     done                             6.57        6.57        None
re-strategic-company/x65.9.sdimacs     done                            18.81       18.81        None
re-strategic-company/x70.14.sdimacs    done                           204.50      204.50        None
re-strategic-company/x70.19.sdimacs    done                            20.11       20.11        None
re-strategic-company/x70.4.sdimacs     done                            36.30       36.30        None
