tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/ring_r3_ser--opt-8_.sdimacs	done	476.617662683	477.3509733409155	534.704128	TIMEOUT (ERROR (1))	900.99548551	902.2590301581658	49.471488
ere-conformant/ring_r6_ser---16_.sdimacs	SEGMENTATION FAULT	313.1277491	314.505244001979	202.108928	TIMEOUT (ERROR (1))	901.09595367	901.1087693492882	165.523456
ere-conformant/ring_r6_ser--opt-17_.sdimacs	SEGMENTATION FAULT	312.616430286	312.8169802778866	202.539008	TIMEOUT (ERROR (1))	901.091156881	901.1069245240651	165.232640
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	TIMEOUT (ABORTED)	900.98734963	901.2630692948587	47.542272	done	0.448155256	0.4499353561550379	48.033792
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	done	2.323514573	2.363365105120465	28.024832	TIMEOUT (ERROR (1))	901.001108238	903.3147167330608	51.171328
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	TIMEOUT (ERROR (1))	901.687485121	901.7132847411558	3509.563392	TIMEOUT	1001.27386801	1001.2975981221534	5794.070528
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	TIMEOUT (ERROR (1))	901.006330598	902.0895386480261	42.975232	done	0.553311239	0.5775876082479954	46.288896
ere-MaxCount/QIF-pwd-backdoor.sdimacs	TIMEOUT (ERROR (1))	901.012730498	902.1012728589121	117.522432	done	2.569181539	2.57569916266948	46.624768
ere-MaxCount/QIF-reverse.sdimacs	TIMEOUT (ERROR (1))	900.993736937	901.0078586419113	66.052096	done	4.014330383	4.026024668011814	46.374912
ere-MaxCount/QIF-reverse2.sdimacs	TIMEOUT (ERROR (1))	900.810756257	901.0067876968533	48.427008	done	4.00154481	4.019553537014872	46.374912
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT (ABORTED)	901.014390086	901.219160990091	425.504768	TIMEOUT (ERROR (1))	900.877178316	901.0039631309919	55.140352
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT (ABORTED)	901.016893213	901.2212542800698	277.090304	TIMEOUT (ERROR (1))	900.861171763	901.005370310042	53.358592
ere-MaxCount/SyGuS-LoginService2.sdimacs	TIMEOUT (ABORTED)	901.009955549	901.3186454130337	280.743936	TIMEOUT (ERROR (1))	900.985751166	901.0048589608632	60.805120
ere-MaxCount/SyGuS-NotificationServiceImpl2.sdimacs	TIMEOUT (ABORTED)	901.015065726	901.2189756699372	411.308032	TIMEOUT (ERROR (1))	900.99083618	901.0111052012071	66.543616
ere-MaxCount/SyGuS-ProcessBean.sdimacs	TIMEOUT (ABORTED)	901.043645232	901.2524030960631	760.442880	TIMEOUT (ERROR (1))	901.003639288	901.0056227832101	313.868288
ere-MaxCount/SyGuS-sign.sdimacs	TIMEOUT (ABORTED)	901.00012647	901.2095581768081	98.668544	done	0.194516041	0.1979599529877305	46.366720
ere-MaxCount/SyGuS-sign_correct.sdimacs	TIMEOUT (ERROR (1))	900.997019663	901.0091662621126	86.216704	done	0.183836983	0.18744824407622218	46.284800
ere-MPEC/c1355-er.sdimacs	TIMEOUT (ERROR (1))	901.126731019	901.1494150131475	1281.486848	done	0.166801485	0.16933895274996758	46.829568
ere-MPEC/c1908-er.sdimacs	TIMEOUT (ERROR (1))	901.093059014	901.1262907250784	1077.948416	ABORTED	34.317575227	34.59654430579394	46.919680
ere-MPEC/c3540-er.sdimacs	done	8.976017193	8.978448574896902	54.525952	ABORTED	34.876631483	35.15790272410959	46.821376
ere-MPEC/c5315-er.sdimacs	TIMEOUT (ERROR (1))	901.016961065	901.0382952359505	324.993024	done	0.125694476	0.1280537312850356	46.596096
ere-MPEC/c7552-er.sdimacs	TIMEOUT (ERROR (1))	900.997806787	901.0104412010405	86.589440	done	0.098981569	0.10117635177448392	46.460928
ere-MPEC/c880-er.sdimacs	TIMEOUT (ERROR (1))	901.119774371	901.1534158738796	1250.398208	done	0.090491057	0.09244482684880495	46.190592
