tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	TIMEOUT (ERROR (1))	901.025675223	901.1252208689693	1018.490880	TIMEOUT (ERROR (1))	901.000023906	903.7236645622179	56.344576
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	TIMEOUT (ERROR (1))	900.941759138	901.0372270739172	188.309504	TIMEOUT (ERROR (1))	900.560653267	901.0133361853659	111.046656
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT (ERROR (1))	901.06946676	901.0916497700382	245.415936	TIMEOUT (ERROR (1))	901.105671713	901.1364504299127	141.340672
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT (ERROR (1))	901.075087913	901.0866588789504	280.653824	TIMEOUT (ERROR (1))	901.088004192	901.1324704578146	141.606912
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT (ERROR (1))	901.063384389	901.0847957211081	224.124928	TIMEOUT (ERROR (1))	901.042503025	901.0737736481242	149.254144
ere-conformant/cube_c3_ser--opt-6_.sdimacs	done	1.95606666	1.9573705061338842	29.638656	done	712.500826721	714.4818959441036	50.704384
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT (ERROR (1))	901.008376255	901.0290622510947	245.587968	TIMEOUT (ERROR (1))	901.006719205	902.2724462109618	54.026240
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT (ERROR (1))	901.009506789	901.0319394420367	246.755328	TIMEOUT (ERROR (1))	901.006985432	902.130867139902	54.976512
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT (ERROR (1))	901.016834541	901.0286188370083	145.862656	TIMEOUT (ERROR (1))	900.839162555	901.0098166619428	62.324736
ere-conformant/cube_c7_ser--opt-24_.sdimacs	TIMEOUT (ERROR (1))	900.999861286	901.0258195789065	176.795648	TIMEOUT (ERROR (1))	900.84204307	901.0098201259971	63.045632
ere-conformant/cube_c9_par---10_.sdimacs	TIMEOUT (ERROR (1))	901.04182171	901.0581767528784	209.764352	TIMEOUT (ERROR (1))	900.973708844	901.0467480556108	82.952192
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT (ERROR (1))	901.037179876	901.0507516390644	211.218432	TIMEOUT (ERROR (1))	900.961521041	901.0401032618247	83.107840
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT (ERROR (1))	901.021017433	901.0550471500028	448.090112	TIMEOUT (ERROR (1))	901.00622749	902.5430620159023	50.274304
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT (ERROR (1))	901.009408752	901.0311605441384	257.695744	TIMEOUT (ERROR (1))	901.001472277	902.2153505166061	54.861824
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT (ERROR (1))	900.977974341	901.0311224730685	227.569664	TIMEOUT (ERROR (1))	901.007347377	902.066391796805	56.885248
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT (ERROR (1))	901.010931998	901.026228607865	136.605696	TIMEOUT (ERROR (1))	900.885958396	901.0160645600408	67.813376
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT (ERROR (1))	900.937522743	901.0311198350973	206.831616	TIMEOUT (ERROR (1))	900.753360964	901.0159171372652	68.767744
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT (ERROR (1))	900.789135986	901.0304670399055	216.322048	TIMEOUT (ERROR (1))	900.939503169	901.0313248429447	77.721600
ere-conformant/ring_r3_ser--opt-8_.sdimacs	done	476.617662683	477.3509733409155	534.704128	TIMEOUT (ERROR (1))	900.99548551	902.2590301581658	49.471488
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT (ERROR (1))	901.032028118	901.0582327360753	588.861440	TIMEOUT (ERROR (1))	900.772829817	901.0072016236372	51.679232
