tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	TIMEOUT (ERROR (1))	901.062151741	901.0978701221757	699.686912	TIMEOUT (ERROR (1))	901.122589668	901.1813611881807	1174.609920	TIMEOUT (ERROR (1))	901.062606145	901.1065938519314	698.613760	TIMEOUT (ERROR (1))	901.011496448	901.0885087829083	609.763328	TIMEOUT (ERROR (1))	901.084048238	901.1298787249252	895.782912	TIMEOUT	901.370201666	901.4237532671541	6762.373120
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	TIMEOUT (ERROR (1))	901.008434347	901.0199661660008	147.501056	TIMEOUT (ERROR (1))	901.026467001	904.9858406949788	196.501504	TIMEOUT (ERROR (1))	901.005695846	901.024641381111	145.453056	TIMEOUT (ERROR (1))	901.012906724	901.0263943611644	164.798464	TIMEOUT (ERROR (1))	900.940368281	901.0252099679783	170.283008	OUT OF MEMORY	854.521981697	854.5487929573283	8000.000000
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT (ERROR (1))	901.010730593	901.0244049029425	208.457728	TIMEOUT (ERROR (1))	900.970651637	901.0201490698382	175.190016	TIMEOUT (ERROR (1))	901.108588671	901.1174053018913	278.429696	TIMEOUT (ERROR (1))	901.011684588	901.0255783963948	208.457728	TIMEOUT (ABORTED)	901.008906611	901.3433043281548	248.229888	TIMEOUT	901.038445222	901.0558991618454	605.143040
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT (ABORTED)	901.013051179	901.3116157897748	246.001664	TIMEOUT (ERROR (1))	901.023538639	907.4746050639078	210.468864	TIMEOUT (ERROR (1))	901.047103958	901.1190284541808	316.149760	TIMEOUT (ERROR (1))	900.982355529	901.0256136851385	246.050816	TIMEOUT (ERROR (1))	901.11502214	901.1280980161391	283.668480	TIMEOUT	901.013714954	901.048414664343	616.898560
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT (ERROR (1))	901.012306111	901.0194111447781	162.705408	TIMEOUT (ERROR (1))	900.863493903	901.0218222290277	153.391104	TIMEOUT (ERROR (1))	901.113442095	901.11418541288	225.923072	TIMEOUT (ERROR (1))	901.022909988	901.0217566490173	162.783232	TIMEOUT (ERROR (1))	901.078751859	901.1074262950569	227.454976	TIMEOUT	901.047081712	901.0726733515039	801.120256
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT (ERROR (1))	900.998981473	901.0178408846259	136.585216	TIMEOUT (ERROR (1))	901.025648305	902.0529904356226	211.095552	TIMEOUT (ERROR (1))	900.996614274	901.0207181540318	137.719808	TIMEOUT (ERROR (1))	901.026344389	901.0346367983148	212.643840	TIMEOUT (ERROR (1))	901.005461862	901.030025461223	214.601728	TIMEOUT	901.088027138	901.108509038575	1395.113984
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT (ERROR (1))	900.993380075	901.022306105122	122.859520	TIMEOUT (ERROR (1))	901.029178994	905.3728747721761	199.176192	TIMEOUT (ERROR (1))	900.988724431	901.01864699414	124.485632	TIMEOUT (ERROR (1))	900.944842796	901.023691656068	154.570752	TIMEOUT (ERROR (1))	900.996118681	901.0318913329393	212.807680	TIMEOUT	901.074693414	901.1053734486923	1510.109184
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT (ERROR (1))	900.950090857	901.011299572885	90.206208	TIMEOUT (ERROR (1))	900.932205819	901.0170098678209	127.119360	TIMEOUT (ERROR (1))	900.961084602	901.0226469868794	97.284096	TIMEOUT (ERROR (1))	900.880170806	901.0134389959276	98.156544	TIMEOUT (ERROR (1))	900.938192296	901.0317075676285	137.924608	TIMEOUT	900.996264454	901.067321550101	801.894400
